"2020-04-19 11:10:00","Липецкая область",1
"2020-04-19 11:10:00","Мурманская область",1
"2020-04-19 11:10:00","Новосибирская область",1
"2020-04-19 11:10:00","Республика Ингушетия",1
"2020-04-19 11:10:00","Ставропольский край",1
"2020-04-20 10:35:00","Москва",28
"2020-04-20 10:35:00","Республика Башкортостан",4
"2020-04-20 10:35:00","Краснодарский край",3
"2020-04-20 10:35:00","Калужская область",2
"2020-04-20 10:35:00","Красноярский край",2
"2020-04-20 10:35:00","Архангельская область",1
"2020-04-20 10:35:00","Ивановская область",1
"2020-04-20 10:35:00","Нижегородская область",1
"2020-04-20 10:35:00","Республика Чувашия",1
"2020-04-20 10:35:00","Хабаровский край",1
"2020-04-21 10:35:00","Москва",29
"2020-04-21 10:35:00","Республика Ингушетия",4
"2020-04-21 10:35:00","Республика Чувашия",3
"2020-04-21 10:35:00","Санкт-Петербург",3
"2020-04-21 10:35:00","Калужская область",2
"2020-04-21 10:35:00","Республика Дагестан",2
"2020-04-21 10:35:00","Воронежская область",1
"2020-04-21 10:35:00","Иркутская область",1
"2020-04-21 10:35:00","Кабардино-Балкарская Республика",1
"2020-04-21 10:35:00","Курская область",1
"2020-04-21 10:35:00","Липецкая область",1
"2020-04-21 10:35:00","Новосибирская область",1
"2020-04-21 10:35:00","Ставропольский край",1
"2020-04-21 10:35:00","Тульская область",1
"2020-04-22 10:35:00","Москва",28
"2020-04-22 10:35:00","Московская область",7
"2020-04-22 10:35:00","Краснодарский край",3
"2020-04-22 10:35:00","Республика Ингушетия",3
"2020-04-22 10:35:00","Санкт-Петербург",3
"2020-04-22 10:35:00","Калужская область",2
"2020-04-22 10:35:00","Волгоградская область",1
"2020-04-22 10:35:00","Воронежская область",1
"2020-04-22 10:35:00","Кировская область",1
"2020-04-22 10:35:00","Нижегородская область",1
"2020-04-22 10:35:00","Орловская область",1
"2020-04-22 10:35:00","Республика Адыгея",1
"2020-04-22 10:35:00","Республика Коми",1
"2020-04-22 10:35:00","Ставропольский край",1
"2020-04-22 10:35:00","Тульская область",1
"2020-04-22 10:35:00","Ханты-Мансийский автономный округ",1
"2020-04-22 10:35:00","Чеченская Республика",1
"2020-04-23 10:35:00","Москва",27
"2020-04-23 10:35:00","Краснодарский край",3
"2020-04-23 10:35:00","Красноярский край",3
"2020-04-23 10:35:00","Санкт-Петербург",3
"2020-04-23 10:35:00","Брянская область",1
"2020-04-23 10:35:00","Нижегородская область",1
"2020-04-23 10:35:00","Пермский край",1
"2020-04-23 10:35:00","Республика Ингушетия",1
"2020-04-23 10:35:00","Тульская область",1
"2020-04-23 10:35:00","Ярославская область",1
"2020-04-24 10:35:00","Москва",37
"2020-04-24 10:35:00","Московская область",10
"2020-04-24 10:35:00","Санкт-Петербург",3
"2020-04-24 10:35:00","Краснодарский край",2
"2020-04-24 10:35:00","Волгоградская область",1
"2020-04-24 10:35:00","Мурманская область",1
"2020-04-24 10:35:00","Нижегородская область",1
"2020-04-24 10:35:00","Республика Мордовия",1
"2020-04-24 10:35:00","Республика Хакасия",1
"2020-04-24 10:35:00","Удмуртская Республика",1
"2020-04-24 10:35:00","Ульяновская область",1
"2020-04-24 10:35:00","Ярославская область",1
"2020-04-25 13:15:00","Москва",41
"2020-04-25 13:15:00","Московская область",3
"2020-04-25 13:15:00","Санкт-Петербург",3
"2020-04-25 13:15:00","Волгоградская область",2
"2020-04-25 13:15:00","Краснодарский край",2
"2020-04-25 13:15:00","Республика Чувашия",2
"2020-04-25 13:15:00","Саратовская область",2
"2020-04-25 13:15:00","Алтайский край",1
"2020-04-25 13:15:00","Астраханская область",1
"2020-04-25 13:15:00","Воронежская область",1
"2020-04-25 13:15:00","Костромская область",1
"2020-04-25 13:15:00","Курская область",1
"2020-04-25 13:15:00","Омская область",1
"2020-04-25 13:15:00","Пензенская область",1
"2020-04-25 13:15:00","Республика Хакасия",1
"2020-04-25 13:15:00","Тамбовская область",1
"2020-04-25 13:15:00","Тульская область",1
"2020-04-25 13:15:00","Тюменская область",1
"2020-04-26 12:00:00","Москва",38
"2020-04-26 12:00:00","Санкт-Петербург",4
"2020-04-26 12:00:00","Калининградская область",2
"2020-04-26 12:00:00","Московская область",2
"2020-04-26 12:00:00","Республика Марий Эл",2
"2020-04-26 12:00:00","Самарская область",2
"2020-04-26 12:00:00","Брянская область",1
"2020-04-26 12:00:00","Волгоградская область",1
"2020-04-26 12:00:00","Иркутская область",1
"2020-04-26 12:00:00","Карачаево-Черкесская Республика",1
"2020-04-26 12:00:00","Краснодарский край",1
"2020-04-26 12:00:00","Новгородская область",1
"2020-04-26 12:00:00","Приморский край",1
"2020-04-26 12:00:00","Псковская область",1
"2020-04-26 12:00:00","Республика Коми",1
"2020-04-26 12:00:00","Республика Чувашия",1
"2020-04-26 12:00:00","Ростовская область",1
"2020-04-26 12:00:00","Ставропольский край",1
"2020-04-26 12:00:00","Тверская область",1
"2020-04-26 12:00:00","Тульская область",1
"2020-04-27 10:50:00","Москва",31
"2020-04-27 10:50:00","Республика Ингушетия",4
